company_symbol,company_name,quarter,year,current_value,previous_value,flow,flow_formula,foreign_ownership,max_allowed,investor_limit,reinvested_earnings_flow,net_profit_foreign_investor,distributed_profits_foreign_investor
1202,مبكو,Q1,2025,135278852.0,135278852.0,0.0,Q1 2025 - Annual 2024,49.0%,6.96%,0.0%,0.0,0.0,0.0
1202,مبكو,Q2,2025,135278852.0,135278852.0,0.0,Q2 2025 - Q1 2025,49.0%,6.96%,0.0%,0.0,0.0,0.0
2222,أرامكو السعودية,Q1,2025,1356603000000.0,1342442000000.0,14161000000.0,Q1 2025 - Annual 2024,49.0%,0.64%,0.0%,0.0,0.0,0.0
2222,أرامكو السعودية,Q2,2025,1363703000000.0,1356603000000.0,7100000000.0,Q2 2025 - Q1 2025,49.0%,0.64%,0.0%,0.0,0.0,0.0
2150,زجاج,Q1,2025,344687025.0,326586612.0,18100413.0,Q1 2025 - Annual 2024,49.0%,3.99%,0.0%,0.0,,
2150,زجاج,Q2,2025,463393944.0,344687025.0,118706919.0,Q2 2025 - Q1 2025,49.0%,3.99%,0.0%,0.0,,
2223,لوبريف,Q2,2025,2692932.0,1930535.0,762397.0,Q2 2025 - Q1 2025,49.0%,5.74%,0.0%,0.0,,
1211,معادن,Q1,2025,11605134022.0,2428196195.0,9176937827.0,Q1 2025 - Annual 2024,49.0%,11.46%,0.0%,0.0,0.0,0.0
1211,معادن,Q2,2025,11109031806.0,11605134022.0,-496102216.0,Q2 2025 - Q1 2025,49.0%,11.46%,0.0%,0.0,0.0,0.0
2382,أديس,Q1,2025,2398770000.0,2446821000.0,-48051000.0,Q1 2025 - Annual 2024,49.0%,7.7%,0.0%,0.0,,
2382,أديس,Q2,2025,2587373.0,2398770000.0,-2396182627.0,Q2 2025 - Q1 2025,49.0%,7.7%,0.0%,0.0,,
2030,المصافي,Q1,2025,163856674.0,161776167.0,2080507.0,Q1 2025 - Annual 2024,49.0%,3.4%,0.0%,0.0,0.0,0.0
2030,المصافي,Q2,2025,138058743.0,163856674.0,-25797931.0,Q2 2025 - Q1 2025,49.0%,3.4%,0.0%,0.0,-0.0,-0.0
2300,صناعة الورق,Q1,2025,170507296.0,149823520.0,20683776.0,Q1 2025 - Annual 2024,49.0%,3.99%,0.0%,0.0,,
2250,المجموعة السعودية,Q2,2025,702947.0,683320.0,19627.0,Q2 2025 - Q1 2025,49.0%,6.17%,0.0%,0.0,,
1320,أنابيب السعودية,Q1,2025,342939421.0,292709392.0,50230029.0,Q1 2025 - Annual 2024,49.0%,4.24%,16.37%,8222655.747300001,11608.2944,-8211047.452900001
1320,أنابيب السعودية,Q2,2025,214127176.0,342939421.0,-128812245.0,Q2 2025 - Q1 2025,49.0%,4.24%,16.37%,-21086564.506500002,16348.3916,21102912.898100004
